Handle,Title,Body (HTML),3CE,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Featured Ingredients (product.metafields.custom.featured_ingredients),How to Use (product.metafields.custom.how_to_use),Specific Item Info (product.metafields.custom.specific_item_info),Why We Love It (product.metafields.custom.why_we_love_it),Product rating count (product.metafields.reviews.rating_count),Active ingredient (product.metafields.shopify.active-ingredient),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance level (product.metafields.shopify.fragrance-level),Moisturizer type (product.metafields.shopify.moisturizer-type),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
apieu-water-lock-finisher-13g,A'pieu Water Lock Finisher 13g,,3CE,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup,Powder & Pact,,TRUE,Type,A'pieu Water Lock Finisher 13g,,,,,,,,,0,shopify,100,deny,manual,35,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/bdbed2f8-0ab6-45b1-9a3c-2511e855389b.jpg?v=1742918068,1,,FALSE,,,,,,,,,,,,,,"3-layer hyaluronic acid and bottle extract regulate the moisture on the skin surface for a long time, keeping it comfortable.Added with menthol for a cooling sensation, it immediately lowers skin temperature to soothe heated skin.Herb mint, which takes care of skin oil, and increased powder content more powerfully remove skin oil.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/9595e1f6-62f7-45de-bd09-63ff3384e164.jpg?v=1742734552"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>13G</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>36 months from the date of manufacture, 24 months after opening an individual pack</td></tr><tr><th scope=""row"">How to Use</th> <td>â‘ How to use: After removing the sticker, take an appropriate amount with the included puff and gently dab onto oily areas.<br><br>â‘¡ Before makeup: After your basic skincare routine is finished, take an appropriate amount with a puff and apply to oily areas with a light dabbing motion.<br><br>â‘¢ After makeup: Take a small amount with a puff and dab gently over your makeup to remove any oily residue.<br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Kolmar Korea Co., Ltd., Able C&amp;C Co., Ltd.</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Cyclopentasiloxane, Silica, Butylene Glycol Dicaprylate/Dicaprate, Dimethicone, Methyl Trimethicone, C12-15 Alkyl Benzoate, Butylene Glycol, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Methyl Methacrylate Crosspolymer, Cetyl PEG/PPG-10/1 Dimethicone, Vaccinium Myrtillus Fruit Extract, Saccharum Officinarum (Sugarcane) Extract, Enantia Chlorantha Bark Extract, Citrus Limon (Lemon) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Centella Asiatica Extract, Sodium Hyaluronate, Lauryl PEG-10 Tris(Trimethylsiloxy)silylethyl Dimethicone, Glyceryl Caprylate, Caprylyl Glycol, Disteardimonium Hectorite, Ethylhexylglycerin, Propylene Carbonate, Xanthan Gum, Tocopherol, Pentylene Glycol, 1,2-Hexanediol, Hydrolyzed Hyaluronic Acid, Oleanolic Acid, Sodium Acetylated Hyaluronate, Fragrance<br></td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2) Do not use on wounds or other affected areas.<br>3) Cautions for Storage and Handling <br>a) Keep out of reach of children. b) Keep away from direct sunlight.<br>4) Avoid contact with eyes. If adverse reactions occur, consult a healthcare professional.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Compensation for defective products is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-80-080-4936</td></tr></tbody></table></div></div></div></div>","The innovative Powder-in-Water type formulation fills up the skin's moisture gap and controls unnecessary sebum, resulting in a smooth skin texture.This new-concept water powder helps lower skin temperature right after application so base makeup doesn't cake, gives a moisturizing feel the moment you apply it, and finishes with a fluffy texture.The refreshing hydrating essence transforms into powder to give a soft and comfortable skin finish.",,,,,,,,,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
apieu-water-lock-finisher-13g,,,3CE,,,,,,A'pieu Water Lock Finisher Refill Set,,,,,,,,,0,shopify,100,deny,manual,49,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/ec3f1069-7ca2-412b-aa03-113aa17391ec.jpg?v=1742918080,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
apieu-water-lock-finisher-13g,,,3CE,,,,,,A'pieu Water Lock Finisher (+Puff 2P),,,,,,,,,0,shopify,100,deny,manual,35,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/e2749ecd-988a-4d0b-90c2-d20dae3260c6.jpg?v=1742918098,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
apieu-water-lock-finisher-13g,,,3CE,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/a6e8db9b-7fe4-4f26-a512-68639002ac23.jpg?v=1742918112,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apieu-juicy-pang-tint-3-5g,A'pieu Juicy Pang Tint 3.5g,,3CE,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup,Lip Gloss & Lip Tint,,TRUE,Color,BE01 Fig,,,,,,,,,0,shopify,100,deny,manual,16,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/68f8bbe8-c896-430c-b18a-a5a56db96572_576e06cc-5c42-464d-8cce-e10ec3a42ffa.jpg?v=1742858936,1,,FALSE,,,,,,,,,,,,,,"Contains Honey Extract, Malus Domestica Fruit Extract, and Rose Extract to make long-lasting moisturizing effect even without a lip balm.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/63f4a9ee-72d2-49f0-9c22-3adeb3533fe0.jpg?v=1742734669"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>3.5g</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>36 months from the date of manufacture, 12 months after opening an individual pack</td></tr><tr><th scope=""row"">How to Use</th> <td>Apply an appropriate amount of the product from the inside of the lips.<br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>C&amp;C International Co., Ltd. / ABLE C&amp;C Co., Ltd. </td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Diphenyl Dimethicone, Diisostearyl Malate, Bis-Diglyceryl Polyacyladipate-2, Octyldodecanol, Hydrogenated Polyisobutene, Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Diglycerin, Dipropylene Glycol, Cetyl PEG/PPG-10/1 Dimethicone, Sorbitan Isostearate, Polysorbate 60, Pentylene Glycol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Squalane, Ceteareth-20, Sunset Yellow FCF, Phenoxyethanol, Fragrance, Stevia Extract, Fast Acid Magenta, Ethylhexylglycerin, Phloxine B, Brilliant Blue FCF, Caprylic/Capric Triglyceride, Titanium Dioxide, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Rose Extract, Malus Domestica Fruit Extract, Butylene Glycol, Honey Extract, 1,2-Hexanediol, Aluminum Hydroxide, Prunus Persica (Peach) Fruit Extract, Ammonium Polyacrylate</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1. Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use. <br>2. Do not use on wounds or other affected areas. <br>3. Cautions for Storage and Handling a) Keep out of reach of children. b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Compensation for defective products is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-80-080-4936</td></tr></tbody></table></div></div></div></div>","The four different new soft shades give pure and fluttering feelings of first love to your daily mood.The compact square-shaped container provides excellent grip, and the close cap provides clear and transparent pure image of Aâ€™pieu.The lightweight high molecular oil provides light application and refreshing coating effect instead of heavy oil glow.",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/d94b708b-7be2-4472-8c84-a19d23cc589c_276bfe05-21ba-4bf4-8779-e4aba01b566f.jpg?v=1742858936,lb,,,TRUE,,,TRUE,,,active
apieu-juicy-pang-tint-3-5g,,,3CE,,,,,,CR05 Grapefruit,,,,,,,,,0,shopify,100,deny,manual,16,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/5cef487a-c70b-4185-aeb4-a240e8cd236a_68cf814b-6eba-451e-a43c-f41667199bd1.jpg?v=1742858936,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/37db4da0-a791-4a4e-bf8c-2e63e60ae7fd_0913ff84-4c82-4d15-8bea-d8f672eaacba.jpg?v=1742858936,lb,,,,,,,,,
apieu-juicy-pang-tint-3-5g,,,3CE,,,,,,CR06 Guava,,,,,,,,,0,shopify,100,deny,manual,16,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/d3eb3104-f006-4f74-aae8-c59bec3ab706_b52036eb-ab05-4718-aede-cd48da8f66ed.jpg?v=1742858936,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/93411d6b-3bd7-496e-b010-6b8d1f7a3d87_1e0bff68-7f79-4160-9a22-dfb7073c16b4.jpg?v=1742858936,lb,,,,,,,,,
apieu-juicy-pang-tint-3-5g,,,3CE,,,,,,PK01 Berry,,,,,,,,,0,shopify,100,deny,manual,16,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/d94b708b-7be2-4472-8c84-a19d23cc589c_276bfe05-21ba-4bf4-8779-e4aba01b566f.jpg?v=1742858936,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/f0c08dfc-1b8c-4b6f-9508-e2b32986901e_7553916f-db69-41d3-90dd-e1062f6f8e3b.jpg?v=1742858936,lb,,,,,,,,,
apieu-juicy-pang-tint-3-5g,,,3CE,,,,,,BE02 Peach,,,,,,,,,0,shopify,100,deny,manual,16,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/37db4da0-a791-4a4e-bf8c-2e63e60ae7fd_0913ff84-4c82-4d15-8bea-d8f672eaacba.jpg?v=1742858936,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/adcc5fb9-aaf6-4ba0-bf64-765a315c8a95_d524d801-1beb-4d6e-a0be-9d186e9f2c1b.jpg?v=1742858936,lb,,,,,,,,,
apieu-juicy-pang-tint-3-5g,,,3CE,,,,,,RD03 Lychee,,,,,,,,,0,shopify,100,deny,manual,16,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/93411d6b-3bd7-496e-b010-6b8d1f7a3d87_1e0bff68-7f79-4160-9a22-dfb7073c16b4.jpg?v=1742858936,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/54ece155-015a-4cc8-a9cf-88114d33bc5d_9964a89c-4a12-4ba8-a05a-a2b939d11906.jpg?v=1742858936,lb,,,,,,,,,
