Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Featured Ingredients (product.metafields.custom.featured_ingredients),How to Use (product.metafields.custom.how_to_use),Specific Item Info (product.metafields.custom.specific_item_info),Why We Love It (product.metafields.custom.why_we_love_it),Product rating count (product.metafields.reviews.rating_count),Active ingredient (product.metafields.shopify.active-ingredient),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance level (product.metafields.shopify.fragrance-level),Moisturizer type (product.metafields.shopify.moisturizer-type),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
dermatory-pro-ampoule-mask-sheet-34g,Dermatory Pro Ampoule Mask Sheet 34g,,Dermatory,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Sheet Masks,,TRUE,Type,Hyal Shot Ampoule Mask,,,,,,,,,0,shopify,100,deny,manual,1.5,3,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/abd95ba605c9b3e31b3d5a5990049ddf_86764906-7b1a-430d-967e-dd0734b0d62b.jpg?v=1742861001,1,,FALSE,,,,,,,,,,,,,,"[Hyal Shot]- Ceramide NP: Prevents skin dehydration and improves the skin barrier function, which helps keep harmful environmental irritants out- Sodium Hyaluronate: Helps restore skin&amp;#39;s moisture and improves the appearance of wrinkles and skin texture[Collagen Shot]- Hydrolyzed Collagen: Helps keep the skin hydrated, reduces wrinkles, and improves skin elasticity- Althaea Rosea Root Extract: Helps to restore, soften, and soothe skin","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/5d01baca-9bf4-4f89-8de7-becaf8a419a1.jpg?v=1742667065"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>34g</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>36 months after manufacture</td></tr><tr><th scope=""row"">How to Use</th> <td>1. After cleansing, prep the skin with toner.<br>2. Open the pouch and place the soft sheet side on your face, then remove the mesh middle sheet.<br>3. Smooth the sheet so that it seamlessly adheres to the face.<br>4. Remove the mask after about 10-20 minutes, then pat the remaining essence into skin until absorbed.<br>TIP. This mask holds a total 34g of ampoule. Take the residual ampoule from the pouch and layer it over your sheet mask, or apply it to dry areas such as the arms and legs.<br><br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Cosmax Co., Ltd. / CLUBCLIO Co., Ltd.</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>[Hyal Shot]<br>Purified Water, Glycerin, Dipropylene Glycol, Methylpropanediol, Sodium Hyaluronate (107ppm), Althaea Rosea Root Extract, Propanediol, Hydroxyacetophenone, Tromethamine, Allantoin, Polyglyceryl-10 Laurate, Panthenol, Caprylyl Glycol, Acrylate/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, Silica, Ethylhexylglycerin, Adenosine, 1,2-Hexanediol, Sodium Polyacrylate, Caprylic/Capric Triglyceride, Hydrogenated Lecithin, Pentylene Glycol, Acetyl Glucosamine, Ceramide NP, Cetearyl Olivate, Sorbitan Olivate, Sodium Hyaluronate Crosspolymer, Carbomer, Caffeine, Xanthan Gum, Disodium EDTA, Fragrance<br><br>[Collagen Shot]<br>Purified Water, Dipropylene Glycol, Glycerin, Methylpropanediol, Hibiscus Esculentus Fruit Extract, Dioscorea Oppositifolia (Wild Yam) Root Extract, Hydrolyzed Collagen (100ppm), Althaea Rosea Root Extract, Linum Usitatissimum (Linseed) Seed Extract, Salvia Hispanica Seed Extract, Sodium Hyaluronate, Diglycerin, Propanediol, Trehalose, Hydroxyacetophenone, Tromethamine, Allantoin, Polyglyceryl-10 Laurate, Panthenol, Caprylyl Glycol, Butylene Glycol, Silica, Ethylhexylglycerin, Acrylate/C10-30 Alkyl Acrylate Crosspolymer, Adenosine, 1,2-Hexanediol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Pentylene Glycol, Acetyl Glucosamine, Betaine, Hydrogenated Lecithin, Cetearyl Olivate, Sorbitan Olivate, Sodium Hyaluronate Crosspolymer, Carbomer, Caffeine, Xanthan Gum, Disodium EDTA, Fragrance</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1. If you experience any symptoms such as redness, swelling, or itchiness during usage or from exposure to direct sunlight after usage, suspend use and consult a physician.<br>2. Do not use on wounds or other areas of skin irritation.<br>3. Storage and handling<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Compensation for defective products is provided according to Fair Trade Commission standards.<br><br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-80-080-1510</td></tr></tbody></table></div></div></div></div>","[Hyal Shot]- Moisturizes skin to keep it supple, soft, and firm- Hydrates dry skin and lets skin retain moisture",,,,,,,,,,,,,,,,,,,,,lb,,,TRUE,,,active
dermatory-pro-ampoule-mask-sheet-34g,,,,,,,,,Niacin Shot Ampoule Mask,,,,,,,,,0,shopify,100,deny,manual,1.5,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
dermatory-pro-ampoule-mask-sheet-34g,,,,,,,,,Cica Shot Ampoule Mask,,,,,,,,,0,shopify,100,deny,manual,1.5,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
dermatory-pro-ampoule-mask-sheet-34g,,,,,,,,,Collagen Shot Ampoule Mask,,,,,,,,,0,shopify,100,deny,manual,1.5,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
dermatory-retinal-collagen-glutathione-gel-mask-sheet-2-types-to-choose,Dermatory Retinal Collagen / Glutathione Gel Mask Sheet 2 Types To Choose,,Dermatory,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Sheet Masks,,TRUE,Type,Collagen Lifting Gel Mask Sheet,,,,,,,,,0,shopify,100,deny,manual,5.52,8,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/96e9edf5-fce4-4006-9d11-24ac42531017_35453d3a-2d4d-4b52-9ec2-9426970940b7.jpg?v=1742860998,1,,FALSE,,,,,,,,,,,,,,"[Collagen Lifting Gel Mask Sheet]It delivers an effective stabilized form of Vitamin A. This gel mask helps enhance skin elasticity by directly delivering serum enriched with Retinal & firming boosting ingredients (Retinal, Bakuchiol, Hydrolyzed Collagen).This gel mask contains 310DAa small molecular french collagen as much as 80%.[Glutathione Radiance Gel Mask Sheet]It delivers an effective stabilized form of Vitamin A. It delivers radiant clarity with its triple brightening solution formulated with Retinal, Glutathione, and Alpha-Arbutin.To provide more effective skincare effects, it also contains multiple synergy ingredients: Niacinamide, Alpha-bisabolol, Ascorbic Acid and derivatives, Tocopherol, CoenzymeÂ Q10.Enriched with 310DAa small molecular french collagen 70% and Hippophae Rhamnoides Water 10%, this gel mask helps firm and brighten your skin.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/1e70cdb8-4912-4d17-a959-df53bfe86d15.jpg?v=1742667216"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>Original Product 1P</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>24 months before opening / use immediately after opening </td></tr><tr><th scope=""row"">How to Use</th> <td>Put the patch on the skin and leave it on for 20-30 minutes. Remove the patch and pat the remaining essence for absorption. <br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>COSMAX Co., Ltd. / CLUBCLIO Co., Ltd.</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>[Collagen Lifting Gel Mask Sheet]<br>Hydrolyzed Collagen (80%), Acrylates Copolymer, Glycerin, Niacinamide, 1,2-Hexanediol, Chondrus Crispus Powder, Ceratonia Siliqua (Carob) Gum, Macadamia Ternifolia Seed Oil, Sodium Hyaluronate, Retinal, 15ppm, Propanediol, Betaine, Methylpropanediol, Hydroxyacetophenone, Allantoin, Potassium Chloride, Cyamopsis Tetragonoloba (Guar) Gum, Cellulose Gum, Glucomannan, Water, Dextrin, Adenosine, Ethylhexylglycerin, Polyglyceryl-10 Laurate, Dipotassium Glycyrrhizate, Sodium Polyacryloyldimethyl Taurate, Butylene Glycol, Caprylic/Capric Triglyceride, Panthenol, Hydrogenated Lecithin, Sodium Polyacrylate, Cholesterol, Maltodextrin, Brassica Campestris (Rapeseed) Sterols, PEG-5 Rapeseed Sterol, Silica, Ceteth-3, Ceteth-5, Bakuchiol, Aluminum/Magnesium Hydroxide Stearate, Tocopherol, Tocopheryl Acetate, Potassium Cetyl Phosphate, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Madecassoside, Xanthan Gum, Disodium EDTA, Gardenia Florida Fruit Extract, Fragrance<br>[Glutathione Radiance Gel Mask Sheet]<br>Hydrolyzed Collagen (70%), Hippophae Rhamnoides Water (10%), Acrylates Copolymer, Glycerin, Niacinamide, 1,2-Hexanediol, Chondrus Crispus Powder, Ceratonia Siliqua (Carob) Gum, Sodium Hyaluronate, Macadamia Ternifolia Seed Oil, Retinal (5ppm), Alpha- Arbutin, Propanediol, Betaine, Methylpropanediol, Hydroxyacetophenone, Allantoin, Potassium Chloride, Cyamopsis Tetragonoloba (Guar) Gum, Cellulose Gum, Glucomannan, Dextrin, Adenosine, Ethylhexylglycerin, Polyglyceryl-10 Laurate, Water, Dipotassium Glycyrrhizate, Sodium Polyacryloyldimethyl Taurate, Panthenol, Butylene Glycol, Caprylic/Capric Triglyceride, Hydrogenated Lecithin, Sodium Polyacrylate, Glutathione (=Glutathione, 10ppm), Cholesterol, Brassica Campestris (Rapeseed) Sterols, PEG-5 Rapeseed Sterol, Silica, Ceteth-3, Ceteth-5, Tocopherol, Aluminum/Magnesium Hydroxide Stearate, Tocopheryl Acetate, Potassium Cetyl Phosphate, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Ascorbic Acid, Ascorbyl Glucoside, Bisabolol, Ubiquinone, Xanthan Gum, Disodium EDTA, Fragrance</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2) Do not use on wounds or other affected areas.<br>3) Cautions for Storage and Handling a) Keep out of reach of children. b) Keep away from direct sunlight. <br>4) Avoid the area around the eyes during use.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Compensation for defective products is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-80-080-1510</td></tr></tbody></table></div></div></div></div>",[Collagen Lifting Gel Mask Sheet]This yellow-colored mask sheet delivers the powerful lifting and firming benefits of Retinal and Collagen. This Retinal-infused gel mask is a great choice to enhance firmness and skin barrier.,,,,,,,,,,,,,,,,,,,,,lb,,,TRUE,,,active
dermatory-retinal-collagen-glutathione-gel-mask-sheet-2-types-to-choose,,,,,,,,,Glutathione Radiance Gel Mask Sheet,,,,,,,,,0,shopify,100,deny,manual,8,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/234999ae-8433-4b6b-b7a6-f9ac0c7114c4_0ba1ffa1-a5ca-4636-aa34-f7494e065ff1.jpg?v=1742860998,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
dermatory-retinal-collagen-glutathione-gel-mask-sheet-2-types-to-choose,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/de634ab8-34d4-4057-942f-2df5251065c2_1eb90025-4fdc-47ce-b611-f7da00615dea.jpg?v=1742860998,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermatory-retinal-collagen-glutathione-gel-mask-sheet-2-types-to-choose,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/22390264-a509-406d-94a4-e211e453ecce_ee88f45a-01a6-4841-b458-cae302dcbca7.jpg?v=1742860998,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermatory-modeling-pack-66g,Dermatory Modeling Pack 66g,,Dermatory,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Facial Masks,,TRUE,Type,[SINGLE] Cica Modeling Pack,,,,,,,,,0,shopify,100,deny,manual,5.06,8,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/d23ecbc1-8b68-444d-86b4-213903d0eb4b_82d4798b-578f-435a-8f2c-f8f6b70550a8.jpg?v=1742860990,1,,FALSE,,,,,,,,,,,,,,"[Cica Soothing Leaf Gel]Dermatoryâ€™s Calming Cica Complex deeply soothes and calms the skin. [Hyal Shot Barrier Ampoule Gel]Lacto-Hyaluronic Acid, 8 Hyaluronic Acids, Allantoin, and Panthenol strengthen the skinâ€™s moisture barrier and provide a visible moisture-plumping effect.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/A00000021117602ko.jpg?v=1742231305"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>60g+6g</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>24 months before opening / use immediately after opening </td></tr><tr><th scope=""row"">How to Use</th> <td>Mix STEP 1 (gel) with STEP 2 (powder) thoroughly with the included spatula and spread the mixture evenly over your face. Remove the hardened pack after 20-30 minutes and wipe out your skin. TIP. Finish with moisturizer or cream for better results. <br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>CLUBCLIO Co., Ltd., SLC Co., Ltd. </td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>- Cica Soothing Leaf Gel Modeling Pack: [step 1]Water, Diatomaceous Earth, Algin, Butylene Glycol, Glycerin, PEG-75, 1,2-Hexanediol, Tetrasodium Pyrophosphate, Hydroxyacetophenone, Centella Asiatica Leaf Extract (1,460ppm), Allantoin, Disodium EDTA, Xylitylglucoside, Anhydroxylitol, Fragrance, Synthetic Fluorphlogopite, Ultramarines, Xylitol, Titanium Dioxide, Glucose, Linalool, Helindone Pink CN, Centella Asiatica Extract (20ppm), Limonene, Citronellol, Aloe Barbadensis Leaf Extract (10ppm), Laminaria Japonica Extract, Dioscorea Japonica Root Extract, Ulmus Davidiana Root Extract, Viola Mandshurica Flower Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil (10ppm), Tin Oxide, Asiaticoside (600ppb), Asiatic Acid (300ppb), Madecassic Acid (300ppb), Madecassoside (300ppb), Guaiazulene<br>[step 2]Glucose, Calcium Sulfate, Centella Asiatica Leaf/Stem Powder (8,000ppm), Sodium Dehydroacetate, Sodium Benzoate, Allantoin, Centella Asiatica Leaf Extract (14.6ppm), Water, Butylene Glycol, 1,2-Hexanediol,<br><br>- Hyal Shot Barrier Ampoule Modeling Pack: [step1]Water, Diatomaceous Earth, Glycerin, Algin, PEG-75, Butylene Glycol, 1,2-Hexanediol, Tetrasodium Pyrophosphate, Hydroxyacetophenone, Erythritol, Lactobacillus Ferment, Panthenol, Allantoin, Disodium EDTA, Xylitylglucoside, Ultramarines, Anhydroxylitol, Fragrance, Xylitol, Glucose, Linalool, Sodium Hyaluronate (20ppm), Limonene, Squalane, Aloe Barbadensis Leaf Extract, Laminaria Japonica Extract, Dioscorea Japonica Root Extract, Ulmus Davidiana Root Extract, Viola Mandshurica Flower Extract, Hydroxypropyltrimonium Hyaluronate (2ppm), Sodium Acetylated Hyaluronate (200ppb), Hydrolyzed Hyaluronic Acid (200ppb), Hyaluronic Acid (50ppb), Sodium Hyaluronate Crosspolymer (20ppb), Hydrolyzed Sodium Hyaluronate (20ppb), Potassium Hyaluronate (4ppb)<br>[step2]Glucose, Calcium Sulfate, Sodium Dehydroacetate, Sodium Benzoate, Allantoin, Panthenol, Water, Lactobacillus Ferment, Squalane, Butylene Glycol, 1,2-Hexanediol, Sodium Hyaluronate (200ppb), Hydroxypropyltrimonium Hyaluronate (20ppb), Sodium Acetylated Hyaluronate (2ppb), Hydrolyzed Hyaluronic Acid (2ppb), Hyaluronic Acid (0.5ppb), Sodium Hyaluronate Crosspolymer (0.2ppb), Hydrolyzed Sodium Hyaluronate (0.2ppb), Potassium Hyaluronate (0.04ppb)</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use. <br>2) Do not use on wounds or other affected areas. <br>3) Cautions for Storage and Handling a) Keep out of reach of children. b) Keep away from direct sunlight. <br>4) Avoid the area around the eyes during use.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Compensation for defective products is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-80-080-1510</td></tr></tbody></table></div></div></div></div>","[Cica Soothing Leaf Gel]Dermatory Ampoule Gel Modeling Pack provides an easy two-step mask treatment for instantly supple, dewy skin.The two-step formula transforms into moisture-rich ampoule gel that deeply cools, soothes, and revives the skin.",,,,,,,,,,,,,,,,,,,,,lb,,,TRUE,,,active
dermatory-modeling-pack-66g,,,,,,,,,[SINGLE] Hyal Shot Modeling pack,,,,,,,,,0,shopify,100,deny,manual,5.06,8,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/1b10e3f7-0194-4c63-947d-19c1a3dd6f39_18e1ce02-2e9d-408d-b6ba-e2f3b95194ef.jpg?v=1742860990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
