Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Featured Ingredients (product.metafields.custom.featured_ingredients),How to Use (product.metafields.custom.how_to_use),Specific Item Info (product.metafields.custom.specific_item_info),Why We Love It (product.metafields.custom.why_we_love_it),Product rating count (product.metafields.reviews.rating_count),Active ingredient (product.metafields.shopify.active-ingredient),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance level (product.metafields.shopify.fragrance-level),Moisturizer type (product.metafields.shopify.moisturizer-type),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
isoi-bulgarian-rose-lip-treatment-balm,ISOI Bulgarian Rose Lip Treatment Balm,"",ISOI,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup,Lip Balm & Treatment,"",true,Color,Sunset Orange,,,,,,,,,0.0,shopify,100,deny,manual,26.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/c141f512-5baa-4e08-97bc-cd17079a08d8_930558d9-1d6e-4f58-ba87-cee456575a6d.jpg?v=1742864475,1,"",false,,,,,,,,,,,,,,"Plant-derived ingredients deeply hydrate against moisture loss. Luxuriously concentrated formula enriched with Bulgarian Rose Otto, which can be obtained only 1g from 3,000 roses, helps get a youthful feel and appearance. Euphorbia Cerifera (Candelilla) Wax and plant oils nourish and smooth dry, rough lips.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/c141f512-5baa-4e08-97bc-cd17079a08d8_42829ded-1051-4e5c-8d86-daebdbd9249e.jpg?v=1742654014"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>5g</td></tr><tr><th scope=""row"">Ideal for</th> <td>Rosy Coral, Berry Rose, Sunset Orange.</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>3 years after manufacture / 6 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>Apply evenly along the lip line, working from the inner part of the lip outwards. For a glossy pout, finish with lip gloss.</td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>DAVID Cosmetics Co., Ltd.: Sunset Orange COSMAX Co., Ltd.: Rosy Coral, Berry Rose / Jayeonin Co., Ltd. </td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>[Berry Rose]<br>Ricinus Communis (Castor) Seed Oil,Caprylic/Capric Triglyceride,Polyglyceryl-2 Triisostearate,Helianthus Annuus (Sunflower) Seed Oil,Helianthus Annuus (Sunflower) Seed Wax,Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Euphorbia Cerifera (Candelilla) Wax,Dimer Dilinoleyl Dimer Dilinoleate,Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate,Rosa Damascena Flower Oil,Copernicia Cerifera (Carnauba) WaxSimmondsia Chinensis (Jojoba) Seed Oil,Vitis Vinifera (Grape) Seed Oil,Rosa Canina Fruit Oil,Sorbitan Isostearate,Maltodextrin,Tocopherol,Ceramide NP,Carmine,Titanium Dioxide<br><br>[Rosy Coral]<br>Ricinus Communis (Castor) Seed Oil,Caprylic/Capric Triglyceride,Polyglyceryl-2 Triisostearate,Helianthus Annuus (Sunflower) Seed Oil,Helianthus Annuus (Sunflower) Seed Wax,Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Euphorbia Cerifera (Candelilla) Wax,Dimer Dilinoleyl Dimer Dilinoleate,Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate,Rosa Damascena Flower Oil,Copernicia Cerifera (Carnauba) WaxSimmondsia Chinensis (Jojoba) Seed Oil,Vitis Vinifera (Grape) Seed Oil,Rosa Canina Fruit Oil,Sorbitan Isostearate,Maltodextrin,Tocopherol,Ceramide NP,Iron Oxide Yellow,Carmine,Titanium Dioxide<br><br>[Sunset Orange]<br>Ricinus Communis (Castor) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Euphorbia Cerifera (Candelilla) Wax, Hydrogenated Vegetable Oil, Polyglyceryl-3 Polyricinoleate, Beeswax,<br>Copernicia Cerifera (Carnauba) WaxMangifera Indica (Mango) Seed Butter, Bentonite, Ceramide NP, Rosa Canina Fruit Oil, Macadamia Integrifolia Seed Oil, Vitis Vinifera (Grape) Seed Oil,Helianthus Annuus (Sunflower) Seed Oil, Rosa Damascena Flower Oil, Tocopherol, Raphanus Sativus (Radish) Root Extract, Citric Acid, Maltodextrin<br><br></td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1. Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2. Do not use on wounds or other affected areas.<br>3. Cautions for Storage and Handlinga) Keep out of reach of children.b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>In accordance with relevant laws and the criteria for the settlement of consumer disputes<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>isoi / +82-1800-9100</td></tr></tbody></table></div></div></div></div>",ISOI Bulgarian Rose Lip Treatment Balm that keeps lips looking and feeling youthful and moisturized. Now available in 3 shades.This balm treatment softly melts on contact to smooth and hydrate lips.Dermal irritation tested on sensitive skin. German Dermatestâ€™s Excellent grade. Discover this gentle treatment formula for your everyday lip care.,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
isoi-bulgarian-rose-lip-treatment-balm,,,,,,,,,Rosy Coral,,,,,,,,,0.0,shopify,100,deny,manual,26.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/51611197-33b7-4877-bf7c-7192e98684dd_49f1ee8a-3172-45f5-9194-fda37e289200.jpg?v=1742864475,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
isoi-bulgarian-rose-lip-treatment-balm,,,,,,,,,Berry Rose,,,,,,,,,0.0,shopify,100,deny,manual,26.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/0ca73557-ed44-4d78-a4f4-3885d6b53904_d81c7000-5ee8-44e5-beec-4edfd20aff52.jpg?v=1742864475,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
isoi-bulgarian-rose-lip-treatment-balm,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/3e64cd91-04da-4e78-a210-1dbcf95d476e_ffe7c3ec-cd69-4cd4-bdcc-037a48e0d5e2.jpg?v=1742864475,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illiyoon-fresh-moisture-scrub-wash-400ml,ILLIYOON Fresh Moisture Scrub Wash 400mL,"",ILLIYOON,Health & Beauty > Personal Care > Cosmetics > Bath & Body,Body Scrub,"",true,Type,Scrub Wash 400mL,,,,,,,,,0.0,shopify,100,deny,manual,13.53,19.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/091dda1e-90fb-40a5-acd9-adc543fded19_eb4d474d-46d4-4a1d-ad3d-3bc25d01e05a.jpg?v=1745999957,1,"",false,,,,,,,,,,,,,,"This product has been completed for the eye irritation test, so it is mild and safe to use.Vitamin C, Citrus Junos Peel Extract, Plant oils, Juglans Regia (Walnut) Shell Extract AHA: Hydrate dry skin and help with exfoliation.","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/94dee794-20f7-41a8-a5c1-9061d1705feb.jpg?v=1742653784"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>400ml</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>Within 24 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>Squirt an appropriate amount on a shower towel or a sponge and work up a lather. Rub your body, except for your face and rinse thoroughly. <br><br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Amorepacific Corporation</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Sodium Laureth Sulfate, Ammonium Lauryl Sulfate, Acrylates Copolymer, 1,2-Hexanediol, Cocamidopropyl Betaine, Phenoxyethanol, Fragrance, Juglans Regia (Walnut) Shell Powder, Potassium Hydroxide, Sodium Benzoate, Limonene, Caprylyl Glycol, Sodium Chloride, Citric Acid, Vitis Vinifera (Grape) Seed Powder, Ethylhexylglycerin, Disodium EDTA, Linalool, Hexyl Cinnamal, Butylene Glycol, 3-O-Ethyl Ascorbic Acid, Caprylic/Capric Triglyceride, Citrus Junos Peel Extract, Tocopherol, Rosa Canina Flower Oil, Citrus Aurantium Dulcis (Orange) Oil, Lavandula Angustifolia (Lavender) Oil<br><br></td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use. <br>2) Do not use on wounds or other affected areas. <br>3) Storage and handling instructions <br>a) Keep out of reach of children. <br>b) Keep away from direct sunlight. <br>4) In case of contact with eyes, rinse immediately. <br>5) Rinse thoroughly after use as it may cause discoloration or loss of hair. <br><br></td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Compensation for defective products is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-80-030-5454 (Toll free) Hours: 09:00â€“17:00 KST (Lunchtime 12:00â€“13:00) (Closed on weekends and holidays)</td></tr></tbody></table></div></div></div></div>","This product is a scrub wash that remove the skin waste when the skin has been exposed to external contamination, sweat and oil, and sunscreen.This product is a body wash that keeps skin hydrated even after washing.This product has a woody and citrus scent, giving a refreshing mood.",,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
illiyoon-fresh-moisture-scrub-wash-400ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/94dee794-20f7-41a8-a5c1-9061d1705feb_f728117f-ba3c-43c5-9d84-32b82fd6bbdd.jpg?v=1742864467,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illiyoon-fresh-moisture-scrub-wash-400ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/2f7ef94a-458b-4ba2-9108-a0dbd29101fc_267db7e1-a348-4922-9ba1-c733e2b2e5f7.jpg?v=1742864467,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illiyoon-md-red-itchy-cure-balm-60ml,ILLIYOON MD Red-itchy Cure Balm 60mL,"",ILLIYOON,Health & Beauty > Personal Care > Cosmetics > Bath & Body,Body Cream,"",true,Color,Main item,,,,,,,,,0.0,shopify,100,deny,manual,13.20,16.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/5f8e1d2e-37cb-402e-bf7f-02e3e82fb472_9621d1e6-6799-43b4-9717-fb6715fd1142.jpg?v=1742864460,1,"",false,,,,,,,,,,,,,,"Evening Primrose Oil: Helps enhance the texture and elasticity of skin, addressing dryness, irritation, roughness and wrinklesShea Butter: Boosts skin's moisture content while strengthening skin barrier Panthenol: Attracts and retains moisture in the skin as a humectant","<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/5f8e1d2e-37cb-402e-bf7f-02e3e82fb472.jpg?v=1742653419"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>60ml+40ml/(main)60ml</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>Usage period: 36 months, 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>Apply an appropriate amount to dry and itchy areas. <br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Cosvision Corp. / Amorepacific Corporation</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water<br>Gutylene Glycol<br>Glycerin<br>Myristic Acid<br>Stearic Acid<br>Glyceryl Stearate<br>Squalane<br>Sorbitan Isostearate<br>Hydroxypropyl Bispalmitamide MEA<br>Ammonium Acryloyldimethyltaurate/VP Copolymer<br>Behenyl Alcohol<br>Cetearyl Alcohol<br>Tocopherol<br>Diisostearyl Malate<br>Panthenol<br>Butyrospermum Parkii (Shea) Butter <br>Arachidyl Alcohol<br>Arachidyl Glucoside<br>Bis-Hydroxyethoxypropyl Dimethicone<br>Bupleurum Falcatum Root Extract<br>Caprylic/Capric Triglyceride<br>Ceramide NP<br>Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer<br>Palmitic Acid<br>Pentaerythrityl Tetraisostearate<br>Polyglyceryl-3 Methylglucose Distearate<br>Sorbitan Olivate<br>Angelica Acutiloba Root Extract<br>Phytosphingosine<br>Cholesterol<br>Perilla Ocymoides Seed Extract<br>Cetearyl Olivate<br>Glucose<br>Rosmarinus Officinalis (Rosemary) Leaf Extract<br>Ethylhexylglycerin<br>Disodium EDTA<br>1,2-Hexanediol,<br>Glyceryl Caprylate<br>Oenothera Biennis (Evening Primrose) Oil<br>Ophiopogon Japonicus Root Extract<br>Sodium Stearoyl Glutamate<br>Panax Ginseng Root Water<br>Arachidic Acid<br>Hydrogenated Lecithin<br>Canola Oil<br>Glycinemax (Soybean) Oil<br></td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>Cautions for Use <br>1) Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use. <br>2) Do not use on wounds or other affected areas. <br>3) Storage and handling instructions a) Keep out of reach of children. b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Compensation for defective products is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-80-030-5454 (Toll free) Hours: 09:00â€“18:00 KST (Lunchtime 12:00â€“13:00) (Closed on weekends and holidays)</td></tr></tbody></table></div></div></div></div>","The upgraded formula helps reduce the itchiness and irritation caused by dehydration of the skin. A highly-adhesive texture is quickly absorbed into the skin without leaving stickiness. Dermatologically tested, unscented, 9-free formula",,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
illiyoon-md-red-itchy-cure-balm-60ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/9ff36b9a-949e-4d3f-a1fa-a511d827d846_76700bb0-9d9a-45ce-a14a-e2002e7e5ac3.jpg?v=1742864460,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
green-finger-forest-multi-defense-sun-cushion-13g-choose-between-original-product-and-refill,Green Finger Forest Multi Defense Sun Cushion 13g Choose Between Original Product and Refill,"",Green Finger,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,Sunscreen,"",true,Type,Forest Sun Cushion Original Product 13g,,,,,,,,,0.0,shopify,100,deny,manual,16.71,24.00,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/65fabc1a-98e8-4871-9eec-189752fb9eee_72032654-9fea-4213-bb6b-6c31b50ca0df.jpg?v=1742864133,1,"",false,,,,,,,,,,,,,,"Its Pure Forest formula of clean moisturizing ingredients delivers clean sun protective treatment for you. Its clean moisturizing formula contains Pure Forest Complex to comfort your skin. Feel South Koreaâ€™s clean forest on your skin !It contains JeJu Islandâ€™s Chamaecyparis Obtusa Water by 38% to keep skin moisturized and relieved even during long hours of outdoor activities. Its refreshing phytoncide helps feel comfort like in a green forest! It is formulated with forest-derived clean moisturizing ingredients and plentiful JeJu Islandâ€™s Chamaecyparis Obtusa Water.It helps relieve weakened skin from environmental stressors and restore energy, with Camellia Japonica Extract obtained from JeJu Island.Powered by vitamins and minerals of Pinus Koraiensis Seed Extract, it helps nourish skin for softer skin texture. It contains JeJu Islandâ€™s Chamaecyparis Obtusa Water by 38% to keep skin moisturized and relieved even during long hours of outdoor activities.","<img style=""display: block; margin-left: auto; margin-right: auto; max-width: 800px;"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/26556eac-afe7-47f3-b42c-2fdcdd3a8f7a_2f8f03d3-3a53-4bc5-8991-f90856466ff0.jpg?v=1742608314"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>13g</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>24 months after manufacturing date </td></tr><tr><th scope=""row"">How to Use</th> <td>Pick up the formula with a puff and pat it around your face. </td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Kolmar Korea Co., Ltd. /Yuhan-Kimberly Co., Ltd. </td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Chamaecyparis Obtusa Water (38%), Zinc Oxide, Caprylyl Methicone, Diisopropyl Sebacate, Butyloctyl Salicylate, Butylene Glycol Dicaprylate/Dicaprate, Butylene Glycol, Titanium Dioxide, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Niacinamide, 1,2-Hexanediol, Water, Calamine, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Methyl Methacrylate Crosspolymer, Ethylhexyl Triazone, Diethylhexyl 2,6-Naphthalate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Magnesium Sulfate, Triethoxycaprylylsilane, Disteardimonium Hectorite, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Panthenol, Camellia Japonica Flower Extract*, Pinus Koraiensis Seed Extract*, Pinus Densiflora Leaf Extract, VP/Eicosene Copolymer, Polymethylsilsesquioxane, Coco-Caprylate/Caprate, Polyhydroxystearic Acid, Collagen, Lactobacillus Ferment Lysate, Leuconostoc/Radish Root Ferment Filtrate, Ethylhexylglycerin, Glyceryl Caprylate, Caprylyl Glycol, Pentylene Glycol, Methyl Diisopropyl Propionamide, Aluminum Hydroxide, Xanthan Gum, Adenosine, Cyanocobalamin, 3-O-Ethyl Ascorbic Acid, Tocopherol, Fragrance</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1. Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use. <br>2. Do not use on wounds or other affected areas. <br>3. Storage and handling instructions a) Keep out of reach of children. 2) Keep away from direct sunlight. <br>* Be careful not to get the formula into the eyes. <br>*This is a cosmetic product. Do not eat. <br>*Please read the user label and how to use instructions thoroughly before use. </td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>*For a defective product, it is subject to exchange or compensation in accordance with the Consumer Dispute Settlement Standards announced by the Fair Trade Committee. <br>*If the product is defective, do not use it and contact our customer center. </td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-80-022-7007</td></tr></tbody></table></div></div></div></div>",This sun cushion offers all-round sun protection and naturally looking enhancement for skin tone and evenness.Golf broadcaster Lee Na-yeon recommends this clean & gentle sun cushion for you !This is a premium clean sun care product suitable for the whole family.,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
