Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Featured Ingredients (product.metafields.custom.featured_ingredients),How to Use (product.metafields.custom.how_to_use),Specific Item Info (product.metafields.custom.specific_item_info),Why We Love It (product.metafields.custom.why_we_love_it),Product rating count (product.metafields.reviews.rating_count),Active ingredient (product.metafields.shopify.active-ingredient),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance level (product.metafields.shopify.fragrance-level),Moisturizer type (product.metafields.shopify.moisturizer-type),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
younite-5th-ep-light-bit-part-2-pocaalbum,YOUNITE - 5TH EP [LIGHT : BIT PART.2] (POCAALBUM),"",YOUNITE,Media > Music & Sound Recordings > Music CDs,Albums,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,13.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/e3cef780-3fc1-4207-a127-0f6d52f3025b_411e53b3-bb45-4caf-8cb2-d45a96006c55.jpg?v=1746733272,1,"",false,,,,,,,,,,,,,,,"<img style=""display:block; min-width:700px; max-width:800px; width:auto; margin:0 auto;"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/0a91e059-47ee-40f7-a9bf-b853b8e689ae.jpg?v=1746658656"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Product/Model Name</th> <td>YOUNITE - 5TH EP [LIGHT : BIT PART.2] (POCAALBUM)</td></tr><tr><th scope=""row"">Certifications</th> <td>Certifications None<br></td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Manufacturer</th> <td>KAKAO ENTERTAINMENT</td></tr><tr><th scope=""row"">Customer Service</th> <td>82-31-262-2882</td></tr></tbody></table></div></div></div></div>",,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
younite-4th-ep-light-bit-part-1-pocaalbum,YOUNITE - 4TH EP [LIGHT : BIT PART.1] (POCAALBUM),"",YOUNITE,Media > Music & Sound Recordings > Music CDs,Albums,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,15.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/ecc0dca4-98f1-4f71-ba9a-49af00458a41_f52c80df-fa2f-4f78-90dc-ab60647d1ad4.jpg?v=1746733270,1,"",false,,,,,,,,,,,,,,,"<img style=""display:block; min-width:700px; max-width:800px; width:auto; margin:0 auto;"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/c8a65e19-ea55-42b7-bf00-5218f52f1ec5.jpg?v=1746658560"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Product/Model Name</th> <td>YOUNITE - 4TH EP [LIGHT : BIT PART.1] (POCAALBUM)</td></tr><tr><th scope=""row"">Certifications</th> <td>Certifications None<br></td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Manufacturer</th> <td>KAKAO ENTERTAINMENT</td></tr><tr><th scope=""row"">Customer Service</th> <td>82-31-262-2882</td></tr></tbody></table></div></div></div></div>",,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
younite-4th-ep-light-bit-part-1,YOUNITE - 4TH EP [LIGHT : BIT PART.1],"",YOUNITE,Media > Music & Sound Recordings > Music CDs,Albums,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,23.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/c5559afb-246d-4602-8a28-94c0d2279a4a_351975ea-35ca-4416-ae5d-aab086298023.jpg?v=1746733267,1,"",false,,,,,,,,,,,,,,,"<img style=""display:block; min-width:700px; max-width:800px; width:auto; margin:0 auto;"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/76b8c567-b69c-4bf1-8f30-fe8b896a30da.jpg?v=1746658439"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Product/Model Name</th> <td>YOUNITE - 4TH EP [LIGHT : BIT PART.1]</td></tr><tr><th scope=""row"">Certifications</th> <td>Certifications None<br></td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Manufacturer</th> <td>KAKAO ENTERTAINMENT</td></tr><tr><th scope=""row"">Customer Service</th> <td>82-31-262-2882</td></tr></tbody></table></div></div></div></div>",,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
younite-4th-ep-light-bit-part-1-kit-album,YOUNITE - 4TH EP [LIGHT : BIT PART.1] (KIT ALBUM),"",YOUNITE,Media > Music & Sound Recordings > Music CDs,Albums,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/c4a61dd3-cec3-4385-b8a3-0c0d9a9587cf_1f600e80-488e-48eb-b368-844cd085b08e.jpg?v=1746733265,1,"",false,,,,,,,,,,,,,,,"<img style=""display:block; min-width:700px; max-width:800px; width:auto; margin:0 auto;"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/a18c4c60-e3f8-45e5-bd41-1ab7865a324d.jpg?v=1746658326"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Product/Model Name</th> <td>YOUNITE - 4TH EP [LIGHT : BIT PART.1] (KIT ALBUM)</td></tr><tr><th scope=""row"">Certifications</th> <td>Certifications None<br></td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Manufacturer</th> <td>KAKAO ENTERTAINMENT</td></tr><tr><th scope=""row"">Customer Service</th> <td>82-31-262-2882</td></tr></tbody></table></div></div></div></div>",,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
younite-7th-ep-youni-t-pocaalbum,YOUNITE - 7TH EP [YOUNI-T] (POCAALBUM),"",YOUNITE,Media > Music & Sound Recordings > Music CDs,Albums,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/c12f49e2-7e2f-4ecc-be25-4b8f956eca17_419969a1-6c99-4e88-a8b5-1fbb98fd7cb6.jpg?v=1746733262,1,"",false,,,,,,,,,,,,,,,"<img style=""display:block; min-width:700px; max-width:800px; width:auto; margin:0 auto;"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/3bdeaa35-62b1-4af4-91e7-2d895c943eaa.jpg?v=1746658233"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Product/Model Name</th> <td>YOUNITE - 7TH EP [YOUNI-T] (POCAALBUM)</td></tr><tr><th scope=""row"">Certifications</th> <td>Certifications None<br></td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Manufacturer</th> <td>KAKAO ENTERTAINMENT</td></tr><tr><th scope=""row"">Customer Service</th> <td>82-31-262-2882</td></tr></tbody></table></div></div></div></div>",,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
younite-7th-ep-youni-t,YOUNITE - 7TH EP [YOUNI-T],"",YOUNITE,Media > Music & Sound Recordings > Music CDs,Albums,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,28.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/5a5662e6-f038-4b09-a040-11bc74fc94cb_83309147-3a13-4a67-94e2-c7566e68d400.jpg?v=1746733260,1,"",false,,,,,,,,,,,,,,,"<img style=""display:block; min-width:700px; max-width:800px; width:auto; margin:0 auto;"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/d15e43c2-47f1-4e52-aaa4-8f6c9f27d830.jpg?v=1746658141"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Product/Model Name</th> <td>YOUNITE - 7TH EP [YOUNI-T]</td></tr><tr><th scope=""row"">Certifications</th> <td>Certifications None<br></td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Manufacturer</th> <td>KAKAO ENTERTAINMENT</td></tr><tr><th scope=""row"">Customer Service</th> <td>82-31-262-2882</td></tr></tbody></table></div></div></div></div>",,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
younite-6th-ep-another,YOUNITE - 6TH EP [ANOTHER],"",YOUNITE,Media > Music & Sound Recordings > Music CDs,Albums,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,22.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/660352b1-2eb4-4092-b64a-557c03acda6d_13552d9a-1c71-4044-865d-79ebfc6d0985.jpg?v=1746733257,1,"",false,,,,,,,,,,,,,,,"<img style=""display:block; min-width:700px; max-width:800px; width:auto; margin:0 auto;"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/02bfe22d-8ecb-4296-90ca-4926b6136ff2.jpg?v=1746658044"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Product/Model Name</th> <td>YOUNITE - 6TH EP [ANOTHER]</td></tr><tr><th scope=""row"">Certifications</th> <td>Certifications None<br></td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Manufacturer</th> <td>KAKAO ENTERTAINMENT</td></tr><tr><th scope=""row"">Customer Service</th> <td>82-31-262-2882</td></tr></tbody></table></div></div></div></div>",,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
younite-3rd-ep-youni-on-photo-book-ver,YOUNITE - 3RD EP [YOUNI-ON] (PHOTO BOOK VER.),"",YOUNITE,Media > Music & Sound Recordings > Music CDs,Albums,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,20.10,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/b10de31a-ba18-46b0-9bf1-7bc3af32f5a6_cb16187a-79a3-49e9-b4db-1404d6a2945b.jpg?v=1746733254,1,"",false,,,,,,,,,,,,,,,"<img style=""display:block; min-width:700px; max-width:800px; width:auto; margin:0 auto;"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/b10d951e-114c-4115-abbe-89981c71df69.jpg?v=1746657934"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Product/Model Name</th> <td>YOUNITE - 3RD EP [YOUNI-ON] (PHOTO BOOK VER.)</td></tr><tr><th scope=""row"">Certifications</th> <td>Certifications None<br></td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Manufacturer</th> <td>KAKAO ENTERTAINMENT</td></tr><tr><th scope=""row"">Customer Service</th> <td>82-31-262-2882</td></tr></tbody></table></div></div></div></div>",,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
younite-3rd-ep-youni-on-digipack-ver,YOUNITE - 3RD EP [YOUNI-ON] (DIGIPACK VER.),"",YOUNITE,Media > Music & Sound Recordings > Music CDs,Albums,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,12.50,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/a2a93ee5-8373-4cc5-a05b-9fdd69e62214_c2463de9-eee7-433b-a790-e7986f08b146.jpg?v=1746733252,1,"",false,,,,,,,,,,,,,,,"<img style=""display:block; min-width:700px; max-width:800px; width:auto; margin:0 auto;"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/2edafea2-e1c3-4ce9-a704-27a291ea40c1.jpg?v=1746657831"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Product/Model Name</th> <td>YOUNITE - 3RD EP [YOUNI-ON] (DIGIPACK VER.)</td></tr><tr><th scope=""row"">Certifications</th> <td>Certifications None<br></td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Manufacturer</th> <td>KAKAO ENTERTAINMENT</td></tr><tr><th scope=""row"">Customer Service</th> <td>82-31-262-2882</td></tr></tbody></table></div></div></div></div>",,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
younite-5th-ep-light-bit-part-2,YOUNITE - 5TH EP [LIGHT : BIT PART.2],"",YOUNITE,Media > Music & Sound Recordings > Music CDs,Albums,"",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/789e0f6c-211d-4521-8134-3cb856eba89e_f1d8180a-abd8-4909-89db-02a7be7c8fc5.jpg?v=1746733249,1,"",false,,,,,,,,,,,,,,,"<img style=""display:block; min-width:700px; max-width:800px; width:auto; margin:0 auto;"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/8c87e063-af83-4dc6-9f0b-822751580911.jpg?v=1746657714"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Product/Model Name</th> <td>YOUNITE - 5TH EP [LIGHT : BIT PART.2]</td></tr><tr><th scope=""row"">Certifications</th> <td>Certifications None<br></td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Manufacturer</th> <td>KAKAO ENTERTAINMENT</td></tr><tr><th scope=""row"">Customer Service</th> <td>82-31-262-2882</td></tr></tbody></table></div></div></div></div>",,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
