Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Featured Ingredients (product.metafields.custom.featured_ingredients),How to Use (product.metafields.custom.how_to_use),Specific Item Info (product.metafields.custom.specific_item_info),Why We Love It (product.metafields.custom.why_we_love_it),Product rating count (product.metafields.reviews.rating_count),Active ingredient (product.metafields.shopify.active-ingredient),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance level (product.metafields.shopify.fragrance-level),Moisturizer type (product.metafields.shopify.moisturizer-type),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
3ce-fitting-mesh-cushion,A’pieu Mint Scalp Hair Vinegar 200ml,,3CE,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup,Powder & Pact,,TRUE,Color,W05 (+Refill),,,,,,,,,0,shopify,100,deny,manual,28.7,41,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/80748728-ccd9-4da2-8a18-8d67d01ae276_bf959d4e-bc5a-4c6a-a7ac-9236ed95fba3.jpg?v=1742858854,1,,FALSE,,,,,,,,,,,,,,Contains 73% skincare ingredient for easy skin care.,"<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/82d43508-698f-4670-85bb-954aa26e1c55.jpg?v=1741206122"" alt="""">","<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>Original Product 11g, Refill 11g</td></tr><tr><th scope=""row"">Ideal for</th> <td>Looking smooth and flawless all day long with the fitting essence! For even tone, smooth texture and radiance and more #3CEFittingMeshCushion</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>36 months from the date of manufacture, 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>Take an appropriate amount in the puff, smooth along the texture of the skin and lightly pat over the face to finish.<br></td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Kolmar Korea Co., Ltd / Stylenanda Co., Ltd</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water,Titanium Dioxide,Methyl Trimethicone,Butylene Glycol,Silica,C12-15 Alkyl Benzoate,Dimethicone,Caprylic/Capric Triglyceride,Caprylyl Methicone,Glycerin,Cetyl PEG/PPG-10/1 Dimethicone,Dimethicone/Vinyl Dimethicone Crosspolymer,Magnesium Sulfate,Pentylene Glycol,PEG-10 Dimethicone,Synthetic Fluorphlogopite, Isododecane,Polyhydroxystearic Acid,Caprylyl Glycol,Alumina,Stearic Acid,Triethoxycaprylylsilane,Aluminum Hydroxide,Disteardimonium Hectorite,Propylene Carbonate,Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate,Fragrance,Phenoxyethanol,Iron Oxide Yellow,Iron Oxide Red,Iron Oxide Black,Linalool,Geraniol</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>N</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2) Do not use on wounds or other affected areas.<br>3) Cautions for Storage and Handling<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Compensation for defective products is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.</td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-502-707-8888</td></tr></tbody></table></div></div></div></div>",Made with SPF 40 PA+++ formula.The fitting essence in the cushion provides 24-hour lasting smooth coverage for perfect skin tone and glow.The fitting essence solution provides 24-hour lasting filter effect on skin.,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/2593b3fd-21fe-45cc-9dd7-f155578e7480_747a73bc-1e77-4508-92fd-de5f04990c8d.jpg?v=1742858854,lb,,,TRUE,,,TRUE,,,active
,A'pieu Juicy Pang Jelly Tint 3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abib Heartleaf Crème Calming Tube 75mL 1+1 Special Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abib Jericho Rose Bifida Serum Firming Drop 50mL Special Set (+30mL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abib Sedum Hyaluron Pad Hydrating Touch 75 Pads (+75Pads Refill),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_2022 Awards_ Abib Heartleaf Spot Pad Calming Touch 80ea Set (80+80 Pads),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_2024 Awards_Abib Sedum Hyaluron Pad Hydrating Touch 75 Pads (+75Pads Refill +Moisture Grass Sticker 1 sheet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AESTURA Atobarrier365 Cream 80ml Double Set (+Cera-Hyal Moisture Ampoule 7ML+A-cica Serum 3ML),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AESTURA Atobarrier365 Hydro Cera-HA Ampoule 30ml+15ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AESTURA Atobarrier 365 Hydro Essence 200ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
