Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Best (product.metafields.custom.best),Featured Ingredients (product.metafields.custom.featured_ingredients),Gift (product.metafields.custom.gift),Hot deal (product.metafields.custom.hot_deal),How to Use (product.metafields.custom.how_to_use),New (product.metafields.custom.new),Specific Item Info (product.metafields.custom.specific_item_info),Why We Love It (product.metafields.custom.why_we_love_it),Product rating count (product.metafields.reviews.rating_count),Active ingredient (product.metafields.shopify.active-ingredient),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance level (product.metafields.shopify.fragrance-level),Moisturizer type (product.metafields.shopify.moisturizer-type),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
b-ready-blue-cushion-refill-15g,B.READY Blue Cushion (Refill) 15g,"",B.READY,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup,Powder & Pact,"",true,Color,01 Stone,,,,,,,,,0.0,shopify,100,deny,manual,33.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/e9a78d04-1452-4543-9783-4ae8b6516266_83881865-222a-4000-b1fc-97358deaf2f2.jpg?v=1742859610,1,"",false,,,,,,,,,,,,,,,"Contains Blue Skin Optimizerâ„¢ complete with 5 types of hyaluronic acids, blue azulene, and Malachite Extract. This unique skincare ingredient of B.READY provides quick skin soothing and moisturizing effect.Contains special powder for pore blurring and sebum hardening to provide excellent coverage as if your skin is applied with a filter.",,,"<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/2e87e6fa-756b-4805-ab15-4741af3c3683.jpg?v=1742725703"" alt="""">",,"<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>15g</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>36 months before opening, within 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>1. Squirt an appropriate amount on a puff. <br>2. Apply to your entire face and finish with gentle patting. </td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Amorepacific Corporation</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Cyclopentasiloxane, Methyl Trimethicone, Butylene Glycol, Titanium Dioxide (CI 77891), Ethylhexyl Methoxycinnamate, Silica, Cyclohexasiloxane, PEG-10 Dimethicone, Trimethylsiloxysilicate, Mica, Alcohol Denat., Zinc Oxide, Titanium Dioxide, Lauryl PEG-8 Dimethicone, Isododecane, Disteardimonium Hectorite, Dimethicone, Boron Nitride, Acrylates/Polytrimethylsiloxymethacrylate Copolymer, Iron Oxide Yellow, 1,2-Hexanediol, Sodium Chloride, PCA Dimethicone, Acrylates/Dimethicone Copolymer, Aluminum Hydroxide, Trihydroxystearin, Polysorbate 80, Caprylyl Glycol, Triethoxycaprylylsilane, Iron Oxide Red, Stearic Acid, Hydrogenated Lecithin, Lauroyl Lysine, Fragrance, Ethylhexylglycerin, Iron Oxide Black, Disodium EDTA, Ethanol, BHT, Chamomilla Recutita (Matricaria) Flower Extract, Propanediol, Malachite Extract, Sodium Hyaluronate, Tocopherol, Sodium Lauroyl Glutamate, Hydrolyzed Hyaluronic Acid, Lysine, Sodium Hyaluronate Crosspolymer, Magnesium Chloride, Hyaluronic Acid, Sodium Acetylated Hyaluronate</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2) Do not use on wounds or other affected areas.<br>3) Precautions for storage and handling<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Compensation for defective products is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-80-023-5454 (Toll free) Hours: 09:00â€“18:00 KST (Lunchtime 12:00â€“13:00) (Closed on weekends and holidays)</td></tr></tbody></table></div></div></div></div>",Made with SPF34 PA++ vegan formula.Provides 40% advanced pigment penetration ratio to make clear skin with soft finish and moisturizing and healthy inner environment.Provides 12-hour lasting effect and complete with shades that perfectly fit to Korean menâ€™s skin.,10,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
b-ready-blue-cushion-refill-15g,,,,,,,,,02 Ryan,,,,,,,,,0.0,shopify,100,deny,manual,33.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/5a3b2bf3-107f-499d-84cc-505cd71a379d_2a732d80-1fe2-4e38-9855-27dffd6b3a14.jpg?v=1742859610,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
b-ready-blue-cushion-refill-15g,,,,,,,,,03 Jeffrey,,,,,,,,,0.0,shopify,100,deny,manual,33.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/d69c3390-272f-4d52-8a0a-40cd0194a79a_98e513db-5c11-4732-b8ca-23e9cd75615b.jpg?v=1742859610,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
b-ready-blue-cushion-refill-15g,,,,,,,,,04 Damien,,,,,,,,,0.0,shopify,100,deny,manual,33.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
b-ready-blue-cushion-refill-15g,,,,,,,,,05 Owen,,,,,,,,,0.0,shopify,100,deny,manual,33.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
b-ready-blue-cushion-spf-34-pa-15g-renewal,B.READY Blue Cushion (SPF 34 PA++/15g) (Renewal),"",B.READY,Health & Beauty > Personal Care > Cosmetics > Makeup > Face Makeup,Powder & Pact,"",true,Color,#1,,,,,,,,,0.0,shopify,100,deny,manual,44.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/b97d4a88-4bc7-49fa-90c7-fe2914e9f630_0acb08e6-a070-4217-80ee-86714b7484e9.jpg?v=1745986358,1,"",false,,,,,,,,,,,,,,,"Within B.Readyâ€™s proprietary Blue Skin Optimizerâ„¢, 5 Hyaluronic Acids, Chamomilla Recutita (Matricaria) Flower Extract and Malachite Extract rapidly soothe and intensely hydrate skin.Specifically formulated powder blurs pores and blots away excess oil for a perfectly blurred, flawless coverage.",,,"<img style=""display: block; margin-left: auto; margin-right: auto"" src=""https://cdn.shopify.com/s/files/1/0668/2555/2008/files/afb9f0b3-4c0a-46f3-8590-c7016c38bdb1.jpg?v=1742725990"" alt="""">",,"<div class=""modal-body type-inner-scroll""><div class=""modal-contents""><!----> <div class=""modal-cont-box type02""><div class=""prd-description""><table class=""table prd-desc-tbl""><colgroup><col class=""col01""> <col class=""col02""></colgroup> <tbody id=""descTbody""><tr><th scope=""row"">Content volume or weight</th> <td>15g</td></tr><tr><th scope=""row"">Ideal for</th> <td>For all skin types</td></tr><tr><th scope=""row"">Expiration date (or expiration date after opening)</th> <td>36 months before opening, within 12 months after opening</td></tr><tr><th scope=""row"">How to Use</th> <td>1. Squirt an appropriate amount on a puff. <br>2. Apply to your entire face and finish with gentle patting. </td></tr><tr><th scope=""row"">Cosmetics manufacturers, cosmetics responsible distributors, and customized cosmetics sellers</th> <td>Amorepacific Corporation</td></tr><tr><th scope=""row"">Country of Manufacture</th> <td>South Korea</td></tr><tr><th scope=""row"">Ingredients</th> <td>Water, Cyclopentasiloxane, Methyl Trimethicone, Butylene Glycol, Titanium Dioxide (CI 77891), Ethylhexyl Methoxycinnamate, Silica, Cyclohexasiloxane, PEG-10 Dimethicone, Trimethylsiloxysilicate, Mica, Alcohol Denat., Zinc Oxide, Titanium Dioxide, Lauryl PEG-8 Dimethicone, Isododecane, Disteardimonium Hectorite, Dimethicone, Boron Nitride, Acrylates/Polytrimethylsiloxymethacrylate Copolymer, Iron Oxide Yellow, 1,2-Hexanediol, Sodium Chloride, PCA Dimethicone, Acrylates/Dimethicone Copolymer, Aluminum Hydroxide, Trihydroxystearin, Polysorbate 80, Caprylyl Glycol, Triethoxycaprylylsilane, Iron Oxide Red, Stearic Acid, Hydrogenated Lecithin, Lauroyl Lysine, Fragrance, Ethylhexylglycerin, Iron Oxide Black, Disodium EDTA, Ethanol, BHT, Chamomilla Recutita (Matricaria) Flower Extract, Propanediol, Malachite Extract, Sodium Hyaluronate, Tocopherol, Sodium Lauroyl Glutamate, Hydrolyzed Hyaluronic Acid, Lysine, Sodium Hyaluronate Crosspolymer, Magnesium Chloride, Hyaluronic Acid, Sodium Acetylated Hyaluronate</td></tr><tr><th scope=""row"">MFDS Evaluation of Functional Cosmetics</th> <td>Completion of functional cosmetics review (or report) according to the Cosmetics Act</td></tr><tr><th scope=""row"">Precautions when using</th> <td>1) Consult a specialist if you have abnormal symptoms or side effects such as a skin rash, swelling, or itchiness during use or from exposure to direct sunlight after use.<br>2) Do not use on wounds or other affected areas.<br>3) Precautions for storage and handling<br>a) Keep out of reach of children.<br>b) Keep away from direct sunlight.</td></tr><tr><th scope=""row"">Quality Assurance Standard</th> <td>Compensation for defective products is provided according to the criteria for the settlement of consumer disputes notified publicly by the Fair Trade Commission.<br></td></tr><tr><th scope=""row"">Customer Service</th> <td>+82-80-023-5454 (Toll free) Hours: 09:00â€“18:00 KST (Lunchtime 12:00â€“13:00) (Closed on weekends and holidays)</td></tr></tbody></table></div></div></div></div>","B. Readyâ€™s Blue Cushion for men that provides both skin-comforting blending and longwear, thanks to Amorepacificâ€™s another innovative breakthrough formula since its worldâ€™s first cushion foundation for men.With 40% advanced pigment composition and transparency, this cushion foundation naturally enhances skinâ€™s tone and moisture while regulating excess oil.The formulaâ€™s upgraded powder dispersibility helps the formula layer 11% thinner on the skin yet provide a flawless coverage of acne marks, pores, and other imperfections. Plus, its advanced film-forming agent allows for softer application and longer-lasting wear.",4,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
b-ready-blue-cushion-spf-34-pa-15g-renewal,,,,,,,,,#2,,,,,,,,,0.0,shopify,100,deny,manual,44.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/4c5ffa94-3ff3-482e-8ecc-ab08f177e8a2_f41ca5de-6d29-4547-902d-c34eb16de3c2.jpg?v=1742859603,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
b-ready-blue-cushion-spf-34-pa-15g-renewal,,,,,,,,,#3,,,,,,,,,0.0,shopify,100,deny,manual,44.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/744c74ad-acad-4f57-bdd9-a5ad3fd2c6e8_4922701c-c155-43e7-ac41-27b45627fe84.jpg?v=1742859603,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
b-ready-blue-cushion-spf-34-pa-15g-renewal,,,,,,,,,#4,,,,,,,,,0.0,shopify,100,deny,manual,44.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/eb25db41-edf6-47ef-a584-245c894498e3_51f7210b-c275-4f44-8d2b-c655740aee67.jpg?v=1742859603,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
b-ready-blue-cushion-spf-34-pa-15g-renewal,,,,,,,,,#5,,,,,,,,,0.0,shopify,100,deny,manual,44.00,,true,true,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/18f5c5af-3ad6-4668-93f3-5c5feedf1c2b_73c0bb7f-1159-420f-a99c-8c85b4592c98.jpg?v=1742859604,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
b-ready-blue-cushion-spf-34-pa-15g-renewal,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0668/2555/2008/files/114920d0-f3ad-4916-9cf4-4821046384fd_e29e8734-fde9-4c49-ac9d-16af511a2f3c.jpg?v=1742859604,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
